geneSet,NES,FDR,Function,Datatype
GO:0007626,1.2819903721547319,0.22919109404669732,GO,FP254CTCdt
GO:0045229,-1.332932886,0.22949173363579886,GO,FP254CTCdt
GO:0007498,1.2744210611801228,0.22957850082103443,GO,FP254CTCdt
GO:0015697,1.2772734283901683,0.230172971,GO,FP254CTCdt
GO:0002250,-1.333600641,0.23031383026709956,GO,FP254CTCdt
GO:0097194,1.2822265190145792,0.2304359769748862,GO,FP254CTCdt
GO:0003170,1.2726102009157851,0.23051057878189024,GO,FP254CTCdt
GO:0007164,1.2746426962685506,0.23084537488265125,GO,FP254CTCdt
GO:0009755,1.275183062478019,0.2315852790097275,GO,FP254CTCdt
GO:0018208,-1.324286453,0.23215428225793605,GO,FP254CTCdt
GO:0031348,-1.326114397,0.23293273589758523,GO,FP254CTCdt
GO:0045861,-1.32726376,0.23297841898208888,GO,FP254CTCdt
GO:0006839,-1.32471484,0.2333340629609957,GO,FP254CTCdt
GO:0099072,1.2691113390762752,0.23422376770135117,GO,FP254CTCdt
GO:0003018,-1.321685854,0.23434956340419055,GO,FP254CTCdt
GO:0043410,-1.32752048,0.23450168956294395,GO,FP254CTCdt
GO:0044380,1.2671565178354467,0.23562946819182301,GO,FP254CTCdt
GO:0140546,1.2651621306799161,0.23721630163396201,GO,FP254CTCdt
GO:0007585,1.2612911931038902,0.24179503189178364,GO,FP254CTCdt
GO:0034341,-1.314956829,0.2421002794350886,GO,FP254CTCdt
GO:0035270,1.2598215637129073,0.24261751945734708,GO,FP254CTCdt
GO:0048705,1.2589509343131482,0.24267429984683184,GO,FP254CTCdt
GO:0031667,-1.313319904,0.24293503645968856,GO,FP254CTCdt
GO:0043086,-1.315448371,0.24312553255855099,GO,FP254CTCdt
GO:0014074,1.2553222612016564,0.24358108577786364,GO,FP254CTCdt
GO:0006949,1.2571789308731343,0.24386036460720564,GO,FP254CTCdt
GO:0031109,1.2559156756083023,0.24424903126662234,GO,FP254CTCdt
GO:0003007,1.253754930191828,0.24487538341037282,GO,FP254CTCdt
GO:0050795,-1.311154206,0.24496651768577443,GO,FP254CTCdt
GO:0031128,1.2525562341863414,0.24535878873681408,GO,FP254CTCdt
GO:0042886,1.2505427939572906,0.24701188049874465,GO,FP254CTCdt
GO:0001562,-1.304273339,0.25284524064470704,GO,FP254CTCdt
GO:0016570,1.2458888056896258,0.2528544942751999,GO,FP254CTCdt
GO:0043648,-1.30092628,0.2531710265482896,GO,FP254CTCdt
GO:0051090,-1.305034812,0.2534752356517184,GO,FP254CTCdt
GO:0033500,-1.30144677,0.2541489109071021,GO,FP254CTCdt
GO:0046835,-1.302555384,0.2542148825185578,GO,FP254CTCdt
GO:0098781,1.242105129437384,0.25563874376907902,GO,FP254CTCdt
GO:0060537,1.2424875104106994,0.2566220144039851,GO,FP254CTCdt
GO:0044782,1.2381814936830815,0.25888687256020698,GO,FP254CTCdt
GO:0007631,1.2389044746252502,0.2593349655733578,GO,FP254CTCdt
GO:0006968,-1.294197448,0.26127367941754875,GO,FP254CTCdt
GO:0043331,1.2358787415729044,0.2613253612165149,GO,FP254CTCdt
GO:0033002,1.234773603618972,0.26177383867095283,GO,FP254CTCdt
GO:0010876,-1.294565624,0.26245392734305695,GO,FP254CTCdt
GO:0048880,1.2321016968414977,0.2649786277226884,GO,FP254CTCdt
GO:0035456,-1.287251215,0.27294906059426893,GO,FP254CTCdt
GO:0050867,1.226018741492263,0.2740444430898488,GO,FP254CTCdt
GO:1905475,1.2231553115647995,0.2771906907394224,GO,FP254CTCdt
GO:0051131,-1.282813072,0.2776474460138123,GO,FP254CTCdt
GO:0021675,1.2216020086958266,0.2784521829845554,GO,FP254CTCdt
GO:0007492,-1.283335335,0.27857974970287286,GO,FP254CTCdt
GO:0032941,1.219387274561118,0.27918778213106094,GO,FP254CTCdt
GO:0043543,1.2181543971836768,0.27990431744340544,GO,FP254CTCdt
GO:0019233,1.2194315490447087,0.28074311881075037,GO,FP254CTCdt
GO:1901136,-1.277913268,0.28158359811949285,GO,FP254CTCdt
GO:0060021,-1.278793185,0.28180656270941901,GO,FP254CTCdt
GO:0070555,-1.279549944,0.28218954359927101,GO,FP254CTCdt
GO:0014075,1.215829801825349,0.2825830745709897,GO,FP254CTCdt
GO:0045785,1.2138325684387616,0.28297973029788454,GO,FP254CTCdt
