"ensembl_id","Oligodendrocytes"
"ENSG00000127483",39.24150831
"ENSG00000249853",50.67335085
"ENSG00000117594",65.77264855
"ENSG00000133835",60.02801928
"ENSG00000126803",79.4599467
"ENSG00000109854",22.15283332
"ENSG00000005700",21.5419387
"ENSG00000112144",17.45152917
"ENSG00000167862",19.10895136
"ENSG00000152778",11.63502533
"ENSG00000182700",20.52957258
"ENSG00000162729",56.99558851
"ENSG00000030419",6.40592227
"ENSG00000095574",12.94407169
"ENSG00000169306",661.7170385
"ENSG00000132323",15.79927479
"ENSG00000148950",14.54630523
"ENSG00000104331",15.03914482
"ENSG00000151689",41.29955948
"ENSG00000186480",35.84017383
"ENSG00000171105",23.13095157
"ENSG00000143493",6.755629699
"ENSG00000119509",15.82146002
"ENSG00000068745",19.64110646
"ENSG00000117408",28.68599481
"ENSG00000127080",3.752390066
"ENSG00000066583",14.42517994
"ENSG00000078747",40.34049951
"ENSG00000164171",17.28148894
"ENSG00000083457",5.64222615
"ENSG00000105855",28.99816432
"ENSG00000100605",12.5091242
"ENSG00000116679",29.81925641
"ENSG00000163166",27.97928712
"ENSG00000188385",9.031368282
"ENSG00000166086",69.40602866
"ENSG00000139620",11.97291118
"ENSG00000172977",4.994761401
"ENSG00000186625",10.81507253
"ENSG00000102781",9.030956752
"ENSG00000170852",19.95757739
"ENSG00000182359",8.546242726
"ENSG00000165572",11.92464717
"ENSG00000120696",7.436535271
"ENSG00000183960",83.44168637
"ENSG00000123700",38.93507452
"ENSG00000100433",6.722676243
"ENSG00000135643",41.60297512
"ENSG00000155729",3.213604153
"ENSG00000180901",6.257760584
"ENSG00000136636",22.58564267
"ENSG00000180332",13.29517196
"ENSG00000183783",78.28198356
"ENSG00000147050",22.12510364
"ENSG00000119537",11.40179899
"ENSG00000079999",6.237675222
"ENSG00000164961",20.36569778
"ENSG00000136813",22.55802349
"ENSG00000166783",8.819976301
"ENSG00000100578",8.105453188
"ENSG00000164659",21.09437028
"ENSG00000149633",13.21738739
"ENSG00000134313",32.38173959
"ENSG00000137177",25.06474751
"ENSG00000197892",29.79079838
"ENSG00000129250",3.334556873
"ENSG00000068796",45.81402585
"ENSG00000164627",10.73681637
"ENSG00000169926",8.097132545
"ENSG00000197776",28.44294693
"ENSG00000109466",33.38597924
"ENSG00000114796",30.0449334
"ENSG00000179454",16.46760806
"ENSG00000186231",123.6414026
"ENSG00000102271",25.19429538
"ENSG00000102753",25.48760826
"ENSG00000001631",19.17880213
"ENSG00000185896",29.86445102
"ENSG00000005893",216.1825644
"ENSG00000149357",20.169428
"ENSG00000115365",122.7098639
"ENSG00000166173",53.32657782
"ENSG00000196233",18.64719315
"ENSG00000122367",42.71884914
"ENSG00000157978",8.599935886
"ENSG00000108679",29.72710463
"ENSG00000168481",19.60246367
"ENSG00000139292",13.9616869
"ENSG00000187416",45.94721239
"ENSG00000107902",27.97142893
"ENSG00000121897",12.34855025
"ENSG00000050405",17.99120203
"ENSG00000064042",87.89690721
"ENSG00000189308",7.730841459
"ENSG00000232388",34.6554765
"ENSG00000189067",28.47106625
"ENSG00000139233",15.11747114
"ENSG00000168216",83.81784099
"ENSG00000103227",11.9295238
"ENSG00000198121",126.7237329
"ENSG00000123684",45.78838293
"ENSG00000186001",14.09315347
"ENSG00000198799",4.173356465
"ENSG00000139263",4.700831886
"ENSG00000081479",9.128720249
"ENSG00000070018",20.2833637
"ENSG00000137269",19.54703862
"ENSG00000171492",18.75781852
"ENSG00000093167",23.43238481
"ENSG00000198739",61.72891859
"ENSG00000160285",18.90951057
"ENSG00000198862",17.68235256
"ENSG00000171357",7.665364862
"ENSG00000153714",13.05650573
"ENSG00000205707",24.98033119
"ENSG00000183060",3.428012817
"ENSG00000162441",14.75833696
"ENSG00000116670",5.542250824
"ENSG00000105695",117.7658641
"ENSG00000187601",66.64128981
"ENSG00000187391",185.4678271
"ENSG00000172005",198.8165292
"ENSG00000112893",83.32739327
"ENSG00000196547",24.70826525
"ENSG00000047849",32.09733173
"ENSG00000071054",85.39618852
"ENSG00000012983",78.97960756
"ENSG00000180834",52.54370812
"ENSG00000135525",183.3460144
"ENSG00000116871",16.67953769
"ENSG00000166974",59.78238192
"ENSG00000175130",196.5417521
"ENSG00000099308",21.99076682
"ENSG00000132561",10.83482352
"ENSG00000129933",7.719157197
"ENSG00000139793",99.45879998
"ENSG00000143797",23.18873146
"ENSG00000197971",462.7449647
"ENSG00000011258",9.444379487
"ENSG00000076706",15.0693286
"ENSG00000166508",9.192084792
"ENSG00000125885",4.568651199
"ENSG00000111554",4.222723233
"ENSG00000198625",25.56444666
"ENSG00000160563",32.10928278
"ENSG00000164758",10.57294992
"ENSG00000106780",36.58935392
"ENSG00000143995",12.20508727
"ENSG00000165819",11.4939928
"ENSG00000176624",5.252789534
"ENSG00000168958",29.32114218
"ENSG00000151690",19.20148651
"ENSG00000174197",11.18333682
"ENSG00000101752",13.17310672
"ENSG00000243156",7.969214713
"ENSG00000165175",14.93322695
"ENSG00000198160",16.19665161
"ENSG00000027001",11.1114138
"ENSG00000159055",6.013618568
"ENSG00000187098",16.33609221
"ENSG00000179455",23.54203121
