"ensembl_id","Microglia"
"ENSG00000096060",46.02675758
"ENSG00000132589",12.66233146
"ENSG00000162769",17.24613161
"ENSG00000248905",12.57527764
"ENSG00000161791",30.82503818
"ENSG00000141560",8.86751332
"ENSG00000109920",40.75897934
"ENSG00000102531",23.39185249
"ENSG00000052795",21.98136636
"ENSG00000065970",6.493771395
"ENSG00000198815",22.61809895
"ENSG00000053254",35.11408065
"ENSG00000118689",27.25974312
"ENSG00000128573",16.43143967
"ENSG00000181274",5.212220728
"ENSG00000151474",173.4591716
"ENSG00000087086",2090.9728
"ENSG00000068438",7.926425264
"ENSG00000122687",13.43197731
"ENSG00000162613",23.43778673
"ENSG00000179163",16.01440746
"ENSG00000001036",8.660572773
"ENSG00000069509",27.18124186
"ENSG00000089280",28.84168117
"ENSG00000129245",6.626842613
"ENSG00000082074",125.8366266
"ENSG00000122068",15.24243267
"ENSG00000092140",8.315938918
"ENSG00000033327",47.23761206
"ENSG00000170296",81.93238363
"ENSG00000104064",12.521119
"ENSG00000178950",7.374447613
"ENSG00000141429",20.75001393
"ENSG00000164574",10.86361315
"ENSG00000143641",16.64444193
"ENSG00000165219",11.31803433
"ENSG00000106105",23.10778565
"ENSG00000139354",1.680334718
"ENSG00000114480",16.38693792
"ENSG00000107862",13.77963558
"ENSG00000135968",23.90968035
"ENSG00000131979",17.70426949
"ENSG00000111846",11.82895949
"ENSG00000124091",9.047277768
"ENSG00000196505",8.748587942
"ENSG00000152147",4.487560452
"ENSG00000100083",7.038513829
"ENSG00000103365",18.06369134
"ENSG00000108262",7.786381141
"ENSG00000139436",13.11478763
"ENSG00000198814",10.6836503
"ENSG00000138604",14.19154748
"ENSG00000139278",57.74892118
"ENSG00000173221",29.38271185
"ENSG00000140632",12.23148477
"ENSG00000196743",23.62495591
"ENSG00000162419",5.90634173
"ENSG00000130755",40.70662592
"ENSG00000144591",6.112751984
"ENSG00000137198",8.541543773
"ENSG00000120063",62.90801613
"ENSG00000060558",7.296101018
"ENSG00000065135",41.76187774
"ENSG00000114450",67.21910375
"ENSG00000176533",38.52118667
"ENSG00000134697",20.29031527
"ENSG00000130119",17.55631818
"ENSG00000113552",9.959321949
"ENSG00000135677",17.58121768
"ENSG00000167110",6.365763515
"ENSG00000090615",8.439525569
"ENSG00000144674",38.16418414
"ENSG00000066455",23.97579292
"ENSG00000113384",27.22796953
"ENSG00000143457",17.01893665
"ENSG00000120370",4.434829168
"ENSG00000076650",5.149436581
"ENSG00000159592",14.92774327
"ENSG00000111231",22.21398733
"ENSG00000173890",11.236634
"ENSG00000152749",6.500388579
"ENSG00000171659",294.2994254
"ENSG00000185477",11.9021435
"ENSG00000132522",26.20771709
"ENSG00000233276",149.7773579
"ENSG00000177885",45.82962204
"ENSG00000152208",86.50474493
"ENSG00000030582",35.35986034
"ENSG00000109519",11.36325977
"ENSG00000103342",15.05868806
"ENSG00000104687",7.692087011
"ENSG00000138780",5.053729493
"ENSG00000168765",18.30969553
"ENSG00000137947",32.25285833
"ENSG00000197265",12.48584524
"ENSG00000115207",14.18244433
"ENSG00000172432",4.779508076
"ENSG00000107937",16.09244783
"ENSG00000163607",6.545842078
"ENSG00000113648",17.33762266
"ENSG00000138796",13.59555933
"ENSG00000112855",10.54862863
"ENSG00000152240",10.36021984
"ENSG00000131351",4.383613485
"ENSG00000135077",139.1188623
"ENSG00000004961",14.8663573
"ENSG00000101336",59.83693457
"ENSG00000196591",6.70276894
"ENSG00000171720",10.35545645
"ENSG00000147099",24.80601051
