"ensembl_id","Astrocytes"
"ENSG00000105607",7.034968072
"ENSG00000135414",8.580746435
"ENSG00000046647",17.51238802
"ENSG00000131095",116.1912431
"ENSG00000151892",4.137557927
"ENSG00000152904",13.17143114
"ENSG00000152661",465.763721
"ENSG00000121742",145.2579133
"ENSG00000165113",14.35205054
"ENSG00000170266",20.64491259
"ENSG00000178445",8.242546076
"ENSG00000119392",8.965410874
"ENSG00000090863",30.18110918
"ENSG00000106571",31.2320533
"ENSG00000107249",32.0531526
"ENSG00000124767",33.12886574
"ENSG00000148672",240.4713942
"ENSG00000135821",470.6759626
"ENSG00000146535",11.82090629
"ENSG00000156049",92.44608851
"ENSG00000156052",81.72952385
"ENSG00000172380",14.17605811
"ENSG00000136935",10.4800701
"ENSG00000173230",35.26690903
"ENSG00000173905",34.68183691
"ENSG00000116580",15.22216518
"ENSG00000047932",15.92086664
"ENSG00000114745",9.058006855
"ENSG00000108587",8.134919366
"ENSG00000119927",29.62769467
"ENSG00000076716",7.578678004
"ENSG00000179399",933.9723277
"ENSG00000115159",29.5524335
"ENSG00000150625",551.276389
"ENSG00000077585",30.39836999
"ENSG00000184194",10.31552749
"ENSG00000183150",9.064080569
"ENSG00000181773",2.146438138
"ENSG00000170075",70.35386196
"ENSG00000166123",29.22119183
"ENSG00000023171",12.5907632
"ENSG00000178075",47.09129388
"ENSG00000155324",144.3070684
"ENSG00000075240",5.869426222
"ENSG00000196208",3.774107778
"ENSG00000161509",23.29700754
"ENSG00000198822",130.0515635
"ENSG00000189369",5.075437607
"ENSG00000134202",40.7488738
"ENSG00000110768",9.870133948
"ENSG00000155115",39.93383315
"ENSG00000169919",9.486740066
"ENSG00000056998",3.062121606
"ENSG00000104812",11.79194807
"ENSG00000084754",53.57879768
"ENSG00000138029",53.40416933
"ENSG00000147874",3.587044989
"ENSG00000116478",15.54128835
"ENSG00000094631",7.884191602
"ENSG00000111906",18.73008449
"ENSG00000119431",19.0655552
"ENSG00000126107",4.113830702
"ENSG00000165478",59.36320831
"ENSG00000089472",23.94746578
"ENSG00000122557",29.11624751
"ENSG00000144485",21.93902257
"ENSG00000019991",7.125828843
"ENSG00000197568",13.16879876
"ENSG00000198130",27.4178739
"ENSG00000124440",40.14746142
"ENSG00000130787",26.60211249
"ENSG00000181666",9.161620562
"ENSG00000147421",25.40672172
"ENSG00000189403",65.80481029
"ENSG00000112972",46.06804982
"ENSG00000205581",24.63889635
"ENSG00000171476",30.99381712
"ENSG00000172987",224.40685
"ENSG00000196639",9.038333571
"ENSG00000132541",67.95119579
"ENSG00000267561",45.95917518
"ENSG00000226742",16.40969318
"ENSG00000100209",18.41495076
"ENSG00000149084",35.04002819
"ENSG00000025423",35.54655418
"ENSG00000132196",14.1746549
"ENSG00000119471",41.26550785
"ENSG00000044574",112.7077674
"ENSG00000113013",41.57375186
"ENSG00000152137",27.68988802
"ENSG00000166033",230.4861094
"ENSG00000086758",12.52179049
"ENSG00000115738",242.4938844
"ENSG00000172201",127.0414671
"ENSG00000119912",7.229914842
"ENSG00000138413",34.17368511
"ENSG00000182054",36.18529599
"ENSG00000166411",24.22492215
"ENSG00000067064",77.38302204
"ENSG00000165948",9.526451757
"ENSG00000119632",28.49596649
"ENSG00000119917",28.82383532
"ENSG00000163913",3.86641052
"ENSG00000138002",9.490836628
"ENSG00000100360",8.048315142
"ENSG00000119650",31.83064999
"ENSG00000096872",20.204964
"ENSG00000122970",8.475094672
"ENSG00000032742",18.48963269
"ENSG00000103742",10.91685592
"ENSG00000147255",2.951366686
"ENSG00000144847",37.69150056
"ENSG00000137070",12.38834555
"ENSG00000172458",23.02820726
"ENSG00000056736",66.77161091
"ENSG00000143195",7.58680834
"ENSG00000166333",42.75452871
"ENSG00000105135",5.88161881
"ENSG00000133731",9.30811547
"ENSG00000154059",5.833276974
"ENSG00000178035",11.3243405
"ENSG00000168556",11.61576625
"ENSG00000165458",9.550786096
"ENSG00000104613",28.0811859
"ENSG00000108506",6.09897462
"ENSG00000164066",27.90252479
"ENSG00000132321",75.42246217
"ENSG00000114473",7.324534607
"ENSG00000174628",87.78345385
"ENSG00000135424",33.37656631
"ENSG00000138448",41.9577437
"ENSG00000142856",7.088249724
"ENSG00000135916",153.9870001
