"ensembl_id","Neurons"
"ENSG00000178567",21.1695687
"ENSG00000138018",8.905982756
"ENSG00000178568",101.4824402
"ENSG00000187672",62.31135618
"ENSG00000158220",1.544828104
"ENSG00000223496",17.35012119
"ENSG00000182197",20.53395325
"ENSG00000162694",15.80462428
"ENSG00000158161",11.84527762
"ENSG00000112319",3.964091229
"ENSG00000165591",12.77119811
"ENSG00000121769",63.88604553
"ENSG00000135472",41.64454326
"ENSG00000133193",17.06214132
"ENSG00000169122",27.36839932
"ENSG00000155744",11.99673307
"ENSG00000179083",5.906203879
"ENSG00000144567",15.68417957
"ENSG00000147724",7.066563845
"ENSG00000204442",550.9941496
"ENSG00000156050",2.905972479
"ENSG00000152102",17.53085149
"ENSG00000198780",19.92313746
"ENSG00000165660",10.07241055
"ENSG00000183662",104.9751807
"ENSG00000198673",35.41755443
"ENSG00000116199",8.451930721
"ENSG00000204856",18.79353734
"ENSG00000196937",29.4707841
"ENSG00000197872",48.67858245
"ENSG00000111913",14.94738223
"ENSG00000165716",8.296134911
"ENSG00000157470",10.74444304
"ENSG00000179115",18.78191506
"ENSG00000116120",30.89039851
"ENSG00000138399",18.83882763
"ENSG00000118246",13.19571421
"ENSG00000146267",7.142374592
"ENSG00000144152",2.585033726
"ENSG00000127585",14.16015326
"ENSG00000145743",29.93876369
"ENSG00000153558",15.22133872
"ENSG00000108306",35.81483012
"ENSG00000214050",14.24299569
"ENSG00000135108",23.24470212
"ENSG00000110429",9.000309225
"ENSG00000178974",21.41255751
"ENSG00000132879",23.6626081
"ENSG00000112146",13.03504108
"ENSG00000109670",57.60707319
"ENSG00000114279",143.8177193
"ENSG00000129682",35.84615697
"ENSG00000102466",240.3736827
"ENSG00000102678",11.57896281
"ENSG00000091483",15.3879551
"ENSG00000022267",46.75958778
"ENSG00000134775",9.165502727
"ENSG00000172500",15.77749797
"ENSG00000119782",15.44921595
"ENSG00000100442",70.95321333
"ENSG00000125848",12.09926578
"ENSG00000137942",29.65675033
"ENSG00000115226",16.35086083
"ENSG00000160097",9.158108549
"ENSG00000138759",6.180005442
"ENSG00000164946",2.853328654
"ENSG00000070601",1.825441414
"ENSG00000169933",50.14740312
"ENSG00000053108",18.34963371
"ENSG00000168843",51.58061618
"ENSG00000140718",21.69050494
"ENSG00000104290",15.45289518
"ENSG00000138757",36.03265858
"ENSG00000139112",43.31670736
"ENSG00000034713",99.31260626
"ENSG00000136928",77.43518308
"ENSG00000022355",126.2957882
"ENSG00000011677",15.49034863
"ENSG00000109158",14.91740406
"ENSG00000186297",17.53929746
"ENSG00000145864",83.87092148
"ENSG00000166206",46.19100947
"ENSG00000113327",95.49880818
"ENSG00000182256",60.85405989
"ENSG00000128683",81.27852717
"ENSG00000136750",38.9873879
"ENSG00000178234",14.21712936
"ENSG00000158089",7.337232286
"ENSG00000174473",35.2285717
"ENSG00000172020",130.6171791
"ENSG00000111640",328.730609
"ENSG00000119125",19.14299495
"ENSG00000104381",94.31175444
"ENSG00000124194",11.51176317
"ENSG00000203879",39.0322702
"ENSG00000153982",19.66567067
"ENSG00000168827",8.307430607
"ENSG00000164347",13.40228878
"ENSG00000145990",10.22947483
"ENSG00000198380",9.452563343
"ENSG00000006625",19.05316538
"ENSG00000137563",12.8711927
"ENSG00000165678",99.93452909
"ENSG00000106415",13.18863204
"ENSG00000174842",28.52144373
"ENSG00000167699",13.61454585
"ENSG00000101958",9.352967262
"ENSG00000145451",3.221823328
"ENSG00000109738",54.52345266
"ENSG00000023572",12.62863096
"ENSG00000115419",55.13769765
"ENSG00000135423",19.2093637
"ENSG00000151948",7.740491262
"ENSG00000016864",15.67398911
