symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	reactome	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
CNTNAP2	0.3885435549404026	0.6225329338008454	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12508600424528515	0.009227272432312071	0.27393361740379646	No data	0	0	0	0	0	0.688205	No data	-0.40794263651406504	-0.3315356520723639	0	No data	No data	0	0.75	0.5
EGFR	0.4074398334091445	0.6221791630988728	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9286432812137011	0.07183172826695267	No data	1	1	1	1	1	1	0.5247950000000003	1	-0.7139547710976282	-0.9856076612666143	0	-1	-1	0	0.5	0
CCDC6	0.3797645488236105	0.6189393330202717	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.10268094765911878	0.02747095701668056	No data	1	0	0	1	1	0	0.7679349999999999	No data	-0.6185328185328185	-0.5939794994359995	0	No data	-1	No data	-1	-1
PDE4B	0.3875325760997273	0.615514126656998	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4389506895303587	No data	No data	1	0	0	1	1	1	0.8573349999999997	1	-0.8223938223938224	-0.7027944885547068	0	-1	No data	-0.24932000000000015	0.5	-1
MELK	0.3731155122911659	0.6098711270660316	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07751117669548169	No data	No data	No data	1	0	1	1	0	0.15514500000000025	1	0.22735797021511317	0	0	No data	No data	0	0.5	0
LILRA5	0.3677376416734024	0.6030007133504454	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.037995674850726316	No data	No data	No data	1	1	0	0	0	0	No data	0.22228350799779362	0	0	No data	No data	-0.07190750000000001	0.5	0
LILRB2	0.37722729002771294	0.6014753426773223	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.38069810760132033	No data	No data	No data	1	0	0	0	0	0	No data	-0.18190843905129617	0	0	No data	No data	-0.6189274999999999	0.75	0
MS4A6E	0.3623354190758103	0.5941229108682247	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03782680518472309	No data	No data	No data	0	0	0	0	0	0	No data	0.1548814120242692	No data	0	No data	No data	-0.48979500000000015	1	1
FBXL22	0.3589568461539808	0.5904567552165728	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.06926500000000005	No data	0.8126861555432985	0	0	No data	No data	0	0.5	0
USP6NL	0.36232403463363744	0.5891352792070734	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.13720490754938267	No data	No data	No data	0	0	0	0	0	0.09420500000000018	No data	-0.42658576944291227	0	0	No data	No data	0	-1	-1
