symbol	gwasCredibleSets
CNTNAP3C	0.295972191910784
GRIP1	0.293821995503652
HSF2	0.293821995503652
ZNF486	0.293586265463349
GBX2	0.292601438947264
ZNF461	0.292287515719226
PBX4	0.291976630233874
ZNF716	0.291735609810682
TMEM163	0.290946581814738
FADS1	0.289622138082029
PDE10A	0.288952632880328
CR1L	0.288142323565113
MEF2C	0.287155950003778
WDR12	0.286629565965198
FBN2	0.286476570628533
ZNF92	0.286330523448848
ADGRF4	0.286245395830846
CHN2	0.285965541382756
ITFG1	0.285875659226893
ANKRD30A	0.285589416900649
VRK2	0.282990190186939
ETV4	0.281725390085979
ESR2	0.280700650167481
CAPZA2	0.278218391645317
ETV6	0.278120682621617
GIPC2	0.278011486944659
ZNF33B	0.277167507814118
VEGFA	0.275247261885161
IP6K2	0.273034939714583
DOC2A	0.272523163111634
RABGEF1	0.271634781906213
NUP155	0.271560408544023
EMX2	0.27132417120673
PFKP	0.27132417120673
RET	0.271054416032641
REXO1	0.270121492088144
PRSS3	0.269467790345183
SERTAD2	0.26890749893819
VPREB1	0.268570907385753
MKX	0.268137132224355
KIF26A	0.267890096708289
ITGA2B	0.267664585368151
COL11A1	0.265832808121207
ZNF131	0.264999192343449
REV1	0.263871815373355
SPNS1	0.263653390048657
KDM5B	0.263514080407112
SCIN	0.263491378866838
ABCD2	0.26154114806226
CDCA7	0.261254398439027
PPP2R5E	0.261203016501105
SMPD2	0.260903330804644
SNTN	0.260286620725334
RASGRP3	0.260027428199273
LAPTM4B	0.259850327196739
C8B	0.259725604608356
SLC2A6	0.259146126504516
C12orf50	0.259041405911713
POTEA	0.259041405911713
STH	0.259028970709578
XRCC4	0.257314331429203
ACKR2	0.256961017193866
LMAN1L	0.253589666344608
CRYBB2	0.25264265157198
POLR1G	0.251449181051273
TBX2	0.25132159585845
H3-5	0.250029818428306
ZIC2	0.249579864116497
EFCAB3	0.248508235461983
BRD1	0.2468966616333
ZIC5	0.246206411608283
SPI1	0.24606005141022
PTPRS	0.245447712725203
MED20	0.245203249929583
YJU2B	0.244820258820369
CTNNAL1	0.244653213168874
ITGAX	0.244638356614186
CHRNE	0.242577861185422
PSMC3	0.242360067717242
UBE3B	0.241413089180113
CLN8	0.239364243464354
SYT11	0.238371408902937
LAT	0.238253897178903
NRTN	0.237808417951251
SPON1	0.237316267400578
PRSS36	0.234894793928388
ZNF232	0.234024918956707
TMEM132B	0.23291361800746
SYNE2	0.232632358062361
FAM114A2	0.232609656522088
FANCD2	0.232481473443527
KAT6B	0.231499165294639
MAML3	0.230426431457399
SULT2B1	0.230055017590192
PLD2	0.229994214422468
IPMK	0.229859418365297
MTRFR	0.229701214175616
ZFP91	0.228979910327752
TEAD4	0.227902175991616
CKS1B	0.227092693056352
CCDC33	0.226988044934547
FBN1	0.226714249502293
MAPK10	0.226226157327534
BOD1L2	0.226216156329744
ANKRD31	0.225379877242792
MED24	0.225072002323502
CD46	0.225033900696052
CEP170B	0.224919487107203
COX5A	0.224308339177027
MSL2	0.223666028717504
PTCD2	0.222478029757182
SRGAP2C	0.222104405524522
UNK	0.221823471698917
PDZD8	0.221637637941067
ARHGAP45	0.221201586667265
BCL3	0.220463936499516
RNF43	0.219949987681729
PRPF40B	0.218829368632243
KCNJ18	0.218190174425656
SGCA	0.217842168690958
HP1BP3	0.216544502992187
FAM193A	0.216212368406156
RPS29	0.215912175412706
ZNF277	0.215685721660207
UMPS	0.215685721660207
KCNQ5	0.21531479697224
RIOK1	0.215250714491835
TNFRSF13B	0.214663862463899
KCNN2	0.214343160177879
ELMO1	0.213822709702299
ADARB1	0.21312499516444
CMPK2	0.212941625420537
ICA1L	0.212794697265277
RRAS2	0.212207820325435
TMEM64	0.21102904329967
FDFT1	0.210205041001168
MCF2L2	0.210122775345936
CLK2	0.209812690061193
TMEM126A	0.208084365453959
MANSC4	0.207816911234071
RBM26	0.20755483798582
DRD1	0.20755483798582
VPS36	0.207197229843824
FHIP1A	0.206058656104465
OPA3	0.204927800526444
POU5F1B	0.203872568435336
MMUT	0.203855374690947
HAO1	0.201873365353536
KAT8	0.201715994391611
PHF3	0.201399078903988
EPB42	0.200042204399459
