specimenID,Neurons,Astrocytes,Oligodendrocytes,Microglia
BM_10_799,0.236549312,0.334903172,0.227128799,0.055185976
BM_10_800,0.47416212,0.213925769,0.149591911,0.043420295
BM_10_803,0.424890167,0.259078109,0.175538208,0.034081251
BM_10_805,0.26646012,0.300830854,0.225938629,0.040713735
BM_10_806,0.182774712,0.282494385,0.375604364,0.033035589
BM_10_807,0.305179167,0.331077559,0.165955614,0.052462439
BM_10_808,0.481910727,0.223547269,0.137404393,0.026209463
BM_10_809,0.504246734,0.207431176,0.168251588,0.054905326
BM_10_810,0.535570548,0.219476419,0.080198337,0.05856912
BM_10_811,0.363229565,0.253869797,0.211825541,0.043441075
BM_10_812,0.524365731,0.236889404,0.086523801,0.035968166
BM_10_813,0.519361549,0.190209528,0.15724388,0.042318635
hB_RNA_12433,0.317585917,0.201591928,0.370263338,0.015644651
hB_RNA_12434,0.295610712,0.281387081,0.250701958,0.044493065
hB_RNA_12444,0.114459028,0.42078941,0.20697555,0.035517964
hB_RNA_12474,0.451977926,0.231391227,0.152527027,0.031500327
hB_RNA_12494,0.480806804,0.211361459,0.151562608,0.029558292
hB_RNA_12504,0.329360118,0.268644912,0.238437138,0.04608218
hB_RNA_12536,0.420540366,0.255933004,0.144485547,0.052823086
hB_RNA_12545,0.401744014,0.269570736,0.220012455,0.011308953
hB_RNA_12582,0.456821328,0.207425704,0.189354026,0.032905999
hB_RNA_12638,0.440083573,0.225816791,0.164049382,0.036674925
hB_RNA_12662,0.325551633,0.337621743,0.130492509,0.068648665
hB_RNA_12664,0.475195895,0.198451049,0.205395868,0.029698983
hB_RNA_12693,0.459321373,0.26400253,0.096382608,0.040496497
hB_RNA_12720,0.544627842,0.197790033,0.108962529,0.036380649
hB_RNA_12724,0.512714224,0.229946117,0.111435057,0.026862567
hB_RNA_12774,0.392328456,0.243357448,0.171111917,0.039986624
hB_RNA_12794,0.433154201,0.208755675,0.224149227,0.033777279
hB_RNA_12804,0.36502269,0.232880351,0.173051628,0.082949476
hB_RNA_12852,0.274927903,0.260200186,0.21035585,0.034470633
hB_RNA_12865,0.421804625,0.210117089,0.229014139,0.037612786
hB_RNA_12901,0.571285843,0.216342369,0.044342269,0.040279735
hB_RNA_12917,0.368898559,0.250281848,0.242010748,0.032785576
hB_RNA_12924,0.364861656,0.394022754,0.135292605,0.02032964
hB_RNA_12934,0.421064344,0.289177345,0.140969213,0.022472834
hB_RNA_12944,0.402045715,0.251468306,0.182386119,0.044173052
hB_RNA_12954,0.328073508,0.274713476,0.178189617,0.062745775
hB_RNA_12986,0.509670364,0.211546673,0.108966578,0.038053686
hB_RNA_12994,0.288845869,0.308794225,0.244285594,0.028647115
hB_RNA_13007,0.223385169,0.33570381,0.244142258,0.026337348
hB_RNA_13018,0.384706294,0.206263962,0.230841724,0.033409993
hB_RNA_13039,0.414140132,0.231888549,0.149692454,0.050380197
hB_RNA_13068,0.389803184,0.296693879,0.151690229,0.030276801
hB_RNA_13086,0.344463187,0.265767029,0.242096189,0.029817302
hB_RNA_13102,0.412542882,0.178940486,0.265501656,0.03357065
hB_RNA_13132,0.258789007,0.281787333,0.247906097,0.060633188
hB_RNA_13158,0.39133913,0.210564628,0.241327828,0.036025606
hB_RNA_13174,0.250580407,0.168252615,0.428409179,0.048864656
hB_RNA_13193,0.563755159,0.229120798,0.06104956,0.033160963
hB_RNA_13201,0.240716441,0.318382506,0.226903457,0.054425559
hB_RNA_13210,0.368390581,0.264719653,0.197944189,0.051949388
hB_RNA_13262,0.401093534,0.216041945,0.139475991,0.069281233
hB_RNA_13309,0.58475871,0.18764089,0.112574992,0.032620067
hB_RNA_13351,0.285890658,0.289950589,0.167413115,0.05756036
hB_RNA_13418,0.118111133,0.394496012,0.241400904,0.061847112
hB_RNA_13444,0.075296156,0.382051204,0.226267945,0.045690286
hB_RNA_13458,0.38974862,0.285969704,0.103868821,0.032972773
hB_RNA_13465,0.350679517,0.23299193,0.274330482,0.030286515
hB_RNA_13491,0.185735582,0.320764065,0.309696143,0.039452414
hB_RNA_13512,0.266585299,0.203853935,0.409242589,0.028240316
hB_RNA_13525,0.226138349,0.273998223,0.347705718,0.047085646
hB_RNA_13542,0.38846181,0.25253251,0.196257938,0.03618848
hB_RNA_13557,0.41389746,0.149137225,0.329225446,0.018167206
hB_RNA_13571,0.374684316,0.263473571,0.198938172,0.027845606
hB_RNA_13574,0.565668364,0.223914774,0.066827722,0.028642104
hB_RNA_13599,0.32990488,0.318002036,0.155809421,0.044778586
hB_RNA_13640,0.226007024,0.341755848,0.223686596,0.050962088
hB_RNA_13655,0.192682556,0.341515861,0.230141223,0.048737523
hB_RNA_13665,0.337141623,0.253176237,0.236690853,0.045621836
hB_RNA_13677,0.322003413,0.230447018,0.321197733,0.035079987
hB_RNA_13684,0.059363263,0.274364408,0.427461915,0.032688098
hB_RNA_13216_resequenced,0.337358429,0.257958127,0.223725409,0.048176899
hB_RNA_13373_L43C014,0.273378044,0.241312295,0.291600233,0.027841795
hB_RNA_13375_L43C014,0.216886413,0.345688672,0.178487108,0.020458204
