,Neurons,Astrocytes,Oligodendrocytes
hB_RNA_16455,0.173637161886539,0.467929054901901,0.35843378321156
hB_RNA_16465,0.457695705427938,0.353693977006498,0.188610317565564
hB_RNA_16475,0.274354297005939,0.212376570269836,0.513269132724225
hB_RNA_16495,0.328594475202568,0.302448160686077,0.368957364111355
hB_RNA_16505,0.582760655520064,0.150294020774697,0.266945323705239
hB_RNA_16515,0.380233157101518,0.3041041672861,0.315662675612381
hB_RNA_16585,0.55267742441119,0.17969854320572,0.26762403238309
hB_RNA_16595,0.582771184499672,0.169633717621509,0.247595097878818
hB_RNA_16605,0.100121331863545,0.436575306601358,0.463303361535097
hB_RNA_16625,0.324442516475614,0.303226984301655,0.372330499222731
hB_RNA_16635,0.065843744601495,0.46049448087722,0.473661774521285
hB_RNA_5041,0.615003779486896,0.226565728076587,0.158430492436517
hB_RNA_8555,0.598451238710817,0.231868730717252,0.169680030571931
hB_RNA_4782,0.604561659381557,0.166086523711975,0.229351816906467
hB_RNA_8825,0.180189738305057,0.515052746097493,0.30475751559745
hB_RNA_8845,0.514197634638192,0.247157563095971,0.238644802265838
hB_RNA_8865,0.421096993005029,0.441275775290174,0.137627231704797
hB_RNA_8875,0.471951630159472,0.280089521679092,0.247958848161436
hB_RNA_8885,0.412814939681427,0.266082878801511,0.321102181517062
hB_RNA_8895,0.583659657295389,0.236310833517709,0.180029509186901
hB_RNA_8905,0.561849333986004,0.279390484259844,0.158760181754153
hB_RNA_8945,0.31887353699821,0.468092684995057,0.213033778006733
hB_RNA_8955,0.438184768390246,0.296549381836284,0.26526584977347
hB_RNA_8975,0.228464443631825,0.44124823739261,0.330287318975564
hB_RNA_8985,0.494688762230424,0.380239313821451,0.125071923948125
hB_RNA_8995,0.610389732035492,0.198747260753969,0.19086300721054
hB_RNA_9015,0.159939787548332,0.54362649998863,0.296433712463039
hB_RNA_9025,0.615129616748448,0.251318078954609,0.133552304296944
hB_RNA_9035,0.212141306681111,0.399962995557052,0.387895697761836
hB_RNA_16485,0.659165379089989,0.221504054457909,0.119330566452102
hB_RNA_17145,0.326043113016579,0.322471161553312,0.351485725430109
hB_RNA_17155,0.101960832875554,0.408344211277547,0.489694955846899
hB_RNA_20672,0.195498367212937,0.460362826753768,0.344138806033295
hB_RNA_16965_E009C189,0.273185857291875,0.370128640420524,0.356685502287601
hB_RNA_17125_E009C189,0.398091480084526,0.159880339029177,0.442028180886298
hB_RNA_4398_E007C014,0.014516142928968,0.562933478380508,0.422550378690524
hB_RNA_4761_L43C014,0.771775462182015,0.157796104795709,0.070428433022276
hB_RNA_4774_L43C014,0.609537885930234,0.229602616728209,0.160859497341557
hB_RNA_4791_L43C014,0.533510673148578,0.226600985841867,0.239888341009555
hB_RNA_4862_L43C014,0.499219297092765,0.124550172422393,0.376230530484842
hB_RNA_4881_L43C014,0.511195158946898,0.255334275281043,0.233470565772059
hB_RNA_4951_L43C014,0.643865011394939,0.174391907524556,0.181743081080506
hB_RNA_4961_L43C014,0.459915936722694,0.315460828676484,0.224623234600822
hB_RNA_4980_L43C014,0.235567887513088,0.287583566161293,0.476848546325619
hB_RNA_5011_L43C014,0.521855269060574,0.279772578443882,0.198372152495544
hB_RNA_8615_B82C014,0,0.705676192090264,0.249940164846482
